,AUS,KHM,CHN,HKG,IDN,JPN,KOR,MAC,MYS,MNG,NZL,PNG,PHL,SGP,TWN,THA,VNM,BGD,IND,NPL,PAK,LKA,ARM,AZE,BLR,BIH,BGR,HRV,CZE,HUN,KAZ,MKD,MDA,POL,ROU,RUS,SRB,SVK,SVN,UKR,DNK,EST,FIN,ISL,LVA,LTU,NOR,SWE,AUT,BEL,FRA,DEU,IRL,LUX,NLD,CHE,GBR,CYP,GRC,ITA,PRT,ESP,TUR,DZA,BHR,EGY,IRN,ISR,JOR,KWT,LBN,LBY,MLT,MAR,OMN,QAT,SAU,TUN,ARE,AGO,BWA,CIV,GHA,KEN,MUS,MOZ,NAM,NGA,ZAF,TZA,UGA,ZMB,ZWE,CAN,MEX,USA,ARG,BHS,BOL,BRA,CHL,COL,DOM,ECU,JAM,PAN,PRY,PER,TTO,URY,VEN
AUS,0.00024614259510494105,7.751108797203948e-06,4.8924044191034956e-06,8.760053287231294e-06,6.087526677276362e-06,3.982315840669221e-06,3.386099586614101e-06,1.3754685550899071e-05,5.045997408160927e-06,3.931840417733317e-05,4.547126918545557e-05,7.367909523692093e-05,6.790814898105609e-06,8.07740893096477e-06,2.78909489696716e-06,4.052356025628057e-06,3.651988267723903e-06,5.723702413570806e-06,4.081814992937564e-06,8.997946692223773e-06,6.225221417006329e-06,6.111591619503867e-06,5.772725102639808e-06,4.780227807490909e-06,3.3078804312697855e-06,4.754537556873393e-06,3.673754891100083e-06,5.06282014388773e-06,3.0778891366331387e-06,3.7984523542078342e-06,5.368573429890153e-06,9.60720589404388e-06,4.622753157974737e-06,2.292402785369789e-06,2.2718123788641792e-06,4.206002354120706e-06,2.2051043125387454e-06,2.6050367679639537e-06,3.446425401323937e-06,4.475008544278516e-06,5.12131436372262e-06,4.687338971557677e-06,4.967184158220816e-06,7.157782425377224e-06,2.567643405844855e-06,4.143501967137352e-06,4.251597613521987e-06,4.4502383062852265e-06,4.02029431188798e-06,4.780340819495297e-06,4.8289870030313184e-06,4.443349750368947e-06,6.544468407834771e-06,7.054689450817884e-06,6.595586793524031e-06,8.022700906839977e-06,8.263055306121989e-06,6.69448862744139e-06,2.920608395245727e-06,4.4343248859119085e-06,5.10777873858901e-06,5.754565396240472e-06,2.8948318142681675e-06,4.148226990577143e-06,5.418161255973532e-06,4.992387939122504e-06,4.6901819565104625e-06,3.6862635009303377e-06,3.959984135838496e-06,5.334643837056535e-06,8.223213541932884e-06,9.818087143438678e-06,4.632283260595936e-06,3.5117596533264347e-06,5.765017602901256e-06,8.320039887291153e-06,5.782805506199714e-06,4.65835219900917e-06,7.453501818496363e-06,7.05250599592839e-06,5.436282294114985e-06,6.118507341321993e-06,1.0271454843333547e-05,5.1657173618772146e-06,7.673484598093637e-06,2.7073211914380757e-05,8.781618478624056e-06,4.9578722362722695e-06,1.5043593660571221e-05,5.692597500268952e-06,2.5201363664552262e-06,1.411777689355653e-05,5.477615218134751e-06,7.774485412591404e-06,4.634831819032721e-06,5.579317496369381e-06,5.105347208041345e-06,1.4703261491554328e-05,6.944069235785162e-06,5.704797331129832e-06,6.454817204207029e-06,5.637961459010067e-06,1.1648611264539967e-05,4.614634246622589e-06,4.315693349536061e-06,5.882982914207634e-06,1.916187041883319e-06,4.770218618551917e-06,1.0369520419251301e-05,6.285516297372351e-06,6.8162013301379635e-06
KHM,6.983481003480014e-07,0.017608536818811298,8.066606045551998e-06,6.81983582867938e-06,4.470138179325924e-06,6.284648140665329e-07,9.113555421018857e-07,2.4082726739563275e-06,3.262071429423692e-05,3.1052907147294073e-06,5.172735200108343e-07,6.994546855770046e-05,3.575717261539609e-06,1.7078608833204058e-05,1.972224578794386e-06,1.9039082207593047e-05,2.0692103781758175e-05,2.902746948656573e-06,9.089439375611098e-07,1.3958238341226588e-05,3.1285414034878136e-06,3.703507221913112e-05,5.177950874134661e-07,4.98463340677675e-07,4.177884093710161e-07,2.4954334960027507e-07,3.633080698064144e-07,1.734428499490356e-07,1.8296992075459212e-07,4.1682600609685337e-07,5.511997118205253e-07,4.5607020967286757e-07,5.340019060170524e-07,6.320641192812716e-07,4.0429958219237246e-07,3.8736383549498724e-07,2.3324215305706757e-07,2.3702633162414838e-07,3.296784490877004e-07,5.889833165582517e-07,3.3070526590906726e-07,3.073162497166621e-07,3.870939993368225e-07,2.84945910134744e-07,1.8926951850514803e-07,1.371952275012644e-07,8.60711753787236e-07,2.6734805377360747e-07,2.9739059879007733e-07,3.1366944184566977e-07,9.286354782576793e-07,3.2157464586644255e-07,4.0529357729648054e-07,5.209660065646563e-07,4.271874266765192e-07,3.8165643185448616e-07,1.1828970676515024e-06,6.425050290388046e-07,3.243078676124823e-07,3.4636503996702464e-07,3.606237823027857e-07,3.928594572165437e-07,2.3530517075236956e-07,2.8013266681382025e-07,3.1698926637897135e-07,4.33751516056043e-07,5.949874649741423e-07,5.777676530729116e-07,6.114217778241333e-07,5.356776982005937e-07,5.94553967125379e-07,5.338924457483624e-07,2.79193843299005e-07,4.2268628177339946e-07,7.39077971420459e-06,8.387859632031118e-07,6.059937202456608e-07,9.388028059312625e-07,8.169312748017157e-07,9.942628160831172e-07,1.7175079403131937e-07,6.436582509064387e-07,4.688515560738162e-07,7.851923360746897e-07,2.7860129999822745e-07,1.153195657601503e-06,2.978223939314708e-07,4.077655692402469e-07,7.362880155667523e-07,3.5954671826362113e-07,4.3368070703191453e-07,4.6114140745528056e-07,2.548608508391582e-07,4.953553320274315e-07,5.659208192591858e-07,6.790558193713069e-07,5.158351379508907e-06,2.410197526320726e-07,2.115259045267415e-06,3.7244675773998785e-07,2.7646600350431436e-07,3.5231423905307e-07,1.8383541613101255e-07,2.128072959363335e-06,9.444092374706153e-07,2.378159031575827e-07,2.70697455332501e-07,4.223389616014565e-07,2.459468911189824e-07,1.9807572370148564e-07,6.052731986359303e-07
CHN,3.5672815891147392e-06,1.8179806660515904e-05,0.00015451079381355122,2.7687710154492467e-05,7.691473600870838e-06,6.084463048767079e-06,6.0164322579528936e-06,8.47842405869969e-06,5.906060229388639e-06,2.7443965057134742e-05,3.1779535695900642e-06,7.684278416370883e-06,7.989067293347538e-06,8.282021904409877e-06,1.1377173112575454e-05,5.7990765582715714e-06,7.425523520013594e-06,8.193836611437848e-06,5.589162000206526e-06,1.4274877388716354e-05,9.32424058293357e-06,6.68058242300627e-06,7.250111629462252e-06,1.1473372994513702e-05,5.785837200043799e-06,6.716785396028343e-06,3.5416738842394478e-06,3.860091154355248e-06,4.41576669687356e-06,3.724975597498823e-06,9.099514296831329e-06,4.209234700061868e-06,5.361437527031554e-06,2.9576558849908063e-06,2.372436790232345e-06,5.613310812167048e-06,5.023455818613581e-06,3.101485920205072e-06,4.528914316219309e-06,3.925723411182711e-06,5.738123502551497e-06,3.589973682565703e-06,5.691272131448756e-06,5.445999284504604e-06,5.083521595138985e-06,3.3468504157313133e-06,4.818820846585114e-06,4.420241071522382e-06,5.745519320997266e-06,4.59435827751527e-06,4.877063856423999e-06,7.452729940804065e-06,4.801009754709413e-06,6.582339190369939e-06,5.7790462158718126e-06,5.867785213071667e-06,3.7904063836069145e-06,7.411682274266838e-06,7.578929216947312e-06,5.594351835983881e-06,3.298932297088842e-06,5.493633166724048e-06,4.787051522878337e-06,1.015847639495353e-05,5.103245871089792e-06,6.966912387735854e-06,1.595361549587354e-05,3.3866953035782373e-06,3.0444763697949273e-06,7.936457654596501e-06,6.013891399752506e-06,8.937307559286306e-06,2.8642643265922643e-06,4.529154993304731e-06,7.11550821090546e-06,7.284291132310383e-06,6.471004103735949e-06,1.1992241559909257e-05,6.444002943984299e-06,7.321490475304482e-06,2.8326289333312983e-06,3.7520178418736197e-06,5.9750943409990686e-06,7.755871538508822e-06,6.0919354652718725e-06,5.786022627581411e-06,3.4053800883036827e-06,7.018011030684148e-06,4.183145770232049e-06,7.84193886496518e-06,5.820822515987525e-06,8.486628790219072e-06,6.323898172555012e-06,3.368262400716601e-06,5.933888845270028e-06,4.283992896860085e-06,4.5132574712058655e-06,1.0448580761170551e-05,8.733773562573929e-06,4.533268059672706e-06,5.541073447515141e-06,4.847864769774349e-06,3.384592147338486e-06,1.685954125174392e-05,4.588907852722497e-06,4.133385509450939e-06,7.181581221928145e-06,7.518308510990644e-06,4.395286627324497e-06,4.697764208455101e-06,1.1591053686370834e-05
HKG,5.3869529807858835e-06,1.365038746890371e-05,3.595078094248545e-05,0.0004346750599267491,8.385477632534772e-06,7.8529571342244e-06,6.00879175620652e-06,0.00012437302369074752,8.165789348164755e-06,3.248925547076138e-05,5.357314325980155e-06,1.2387089115422824e-05,1.1737579754804797e-05,1.4391661561271996e-05,1.7600050521628298e-05,9.316404108990964e-06,8.336723727983724e-06,1.408728649513451e-05,4.845247353273917e-06,1.9682063746313084e-05,1.127867845801016e-05,1.2008629513600359e-05,8.193652996747496e-06,1.0310271985255196e-05,4.799028471987765e-06,2.7834233121314644e-06,5.778733452473546e-06,5.4705028494267615e-06,4.316416228665956e-06,4.789067730179254e-06,3.5764046010330273e-06,4.218574215725804e-06,5.123089597250333e-06,2.8309576251674673e-06,2.778737608891434e-06,4.897081654126548e-06,5.9534604663560946e-06,4.038269680161589e-06,3.868654066454363e-06,5.3240415405406125e-06,7.655416471535058e-06,3.2332599602319613e-06,4.725350143735021e-06,5.067624728938836e-06,5.270020242377762e-06,3.562860822274704e-06,4.009182791732985e-06,4.562574845997027e-06,5.467101549099669e-06,7.166679384282058e-06,6.915063046055311e-06,7.947163097362542e-06,6.266506006661113e-06,9.68650563046676e-06,8.246817388909127e-06,7.636595073196397e-06,6.073834092852998e-06,8.820138061944393e-06,6.106860611546307e-06,1.124646773683939e-05,4.09622517546605e-06,5.833028923639185e-06,5.406709727557613e-06,3.950377490456897e-06,9.326368704177517e-06,4.038732798587554e-06,3.944287865891834e-06,5.4083899433743185e-06,3.5731163798701124e-06,5.012855241231905e-06,9.350545957658682e-06,3.8511645887356985e-06,1.6895978777240297e-05,3.361402286145865e-06,4.0947486909182245e-06,7.451799883265989e-06,5.3487858597221184e-06,6.731896302166648e-06,6.929274178325123e-06,4.039015731835053e-06,1.8659404297686432e-06,3.1785139238270768e-06,3.441946632869391e-06,5.6290864087105775e-06,5.752975200056468e-06,3.170524154882149e-06,3.6899146191637986e-06,3.495777227940503e-06,4.212813757713155e-06,1.1348987097688024e-05,5.101665337109553e-06,5.560948256059771e-06,3.159177892605532e-06,4.830747894344317e-06,6.223850510851622e-06,5.927472091917487e-06,4.186317003646058e-06,4.693170873567926e-06,3.8645196852244436e-06,3.225647441804469e-06,5.775280909886243e-06,3.900176649900433e-06,3.1307490473827243e-06,3.7360154137217502e-06,4.475330732492463e-06,5.265034686015087e-06,2.497128283660429e-06,9.75145164952165e-06,2.649321780207347e-06,6.031430994892429e-06,1.0480121317808866e-05
IDN,4.373199533705637e-06,3.121088500863121e-05,5.94290324227714e-06,9.574986072812023e-06,0.0010731493076721929,9.896338784895382e-06,7.938989053024367e-06,1.989704078035821e-06,2.0531770233591318e-05,2.029270431012953e-05,3.7138537097811747e-06,2.473139891061717e-05,2.8072572703310755e-05,3.626115839295688e-05,5.115440354211261e-06,1.5058929038584719e-05,1.3610586762854377e-05,2.1059051233793503e-05,6.274119281653966e-06,5.1782806564367515e-06,1.2529602449756052e-05,1.931261340363855e-05,3.285095766190707e-06,4.354963519577105e-06,1.8925231776986309e-06,1.3692204307976907e-06,1.388928498279748e-06,2.9693437665946877e-06,2.9774656270252215e-06,4.996544930318155e-06,2.811848149232338e-06,2.4419665952047657e-06,2.3842955592402807e-06,1.94313593192349e-06,1.4901541172769127e-06,2.9365542215454242e-06,1.3492799762845954e-06,1.8553669354303335e-06,1.5832334946574554e-06,3.3025488303913894e-06,4.5342703019834905e-06,2.5044864636340855e-06,2.318091269483477e-06,7.269431490282274e-06,9.789861352144883e-07,8.334984023190579e-07,1.7783175241779921e-06,2.381766336996546e-06,2.7606953234456187e-06,3.7778217307203675e-06,3.1619103848868775e-06,5.048735254341999e-06,4.005354057976371e-06,6.473663053356882e-06,6.361167188489862e-06,8.739479120464637e-06,3.1597064276895773e-06,8.759161648522367e-06,3.2139651397887274e-06,3.7135673954086742e-06,2.1419650680308857e-06,4.0466985409912165e-06,8.28275494964336e-06,5.38122716183947e-06,1.2677640893206538e-05,7.66076456666184e-06,1.2972059356203841e-05,3.089330124581067e-06,4.4112092857789336e-05,6.3024741253784105e-06,2.1802500148701777e-05,8.666873477204076e-06,1.761002392740813e-05,1.8029187941302331e-06,1.6700405791347352e-05,1.048269142064358e-05,1.2527813009268256e-05,1.020817141286814e-05,1.391614598518545e-05,3.896803352981105e-06,9.245573573860929e-07,3.0100748219246265e-05,3.136389680482143e-05,6.980194517461018e-06,1.2901930457247819e-05,3.986700295069458e-06,3.225173574737519e-06,7.371004967090219e-06,2.6265548839498974e-06,7.541844361446008e-06,2.7449291148226207e-06,1.1594007788907468e-05,2.0186382576156293e-06,2.158778151909331e-06,3.938710407362747e-06,3.021285432512894e-06,3.703549530950577e-06,1.3599070557318254e-06,6.616712338025255e-06,4.329076788452271e-06,3.077542499944736e-06,4.48609251672321e-06,3.303891889031933e-06,1.2453372187459404e-05,6.5296203200013774e-06,4.542343804581219e-06,1.0755625577747784e-06,4.161340703681426e-06,5.727742826306227e-06,2.846578584695893e-06,4.661341847504432e-06
JPN,5.710132089431358e-06,6.369400386798042e-06,1.1441729163771449e-05,1.1371710746716288e-05,1.456961929330391e-05,0.00020847455584681164,1.1860075315938866e-05,7.3136208244517395e-06,1.0065662088702176e-05,1.5014402463484259e-05,6.693825510379525e-06,1.2903874726767637e-05,1.1528819909968753e-05,1.4265972777561545e-05,2.183764717383903e-05,1.5862057592129174e-05,1.5304140782933645e-05,6.585195115421505e-06,7.84337910675144e-06,7.379591230113999e-06,7.771601852275923e-06,1.3220995663368058e-05,7.756302386440813e-06,8.046406111121747e-06,5.297462072514982e-06,3.82603912055345e-06,6.6959005461339614e-06,5.6536587031781145e-06,5.6938355873572514e-06,8.500614802973759e-06,5.259869963969897e-06,5.538858599748541e-06,4.893901106085614e-06,4.5516459878184e-06,4.3861750397162394e-06,6.9571431275401835e-06,4.342715781835014e-06,4.916632958410784e-06,5.298080637961722e-06,4.691350190179516e-06,5.352530390319306e-06,6.492030781958684e-06,8.414599862986496e-06,1.2383355656563355e-05,7.502750299701005e-06,2.464752416341894e-06,5.431686762797875e-06,6.870522205015267e-06,1.7175871433388517e-05,7.536404767508045e-06,6.944607007487544e-06,8.775829969805215e-06,7.326381208380377e-06,5.5718570205792845e-06,7.946065507065065e-06,9.045402823247129e-06,5.829918595748701e-06,7.16556552482224e-06,1.066507044619677e-05,6.590777809055826e-06,8.415209314003814e-06,6.758687715205294e-06,7.237579057519956e-06,1.2932977414628183e-05,6.9532411911072824e-06,1.0657590839890081e-05,1.1046408668229523e-05,7.971047934877414e-06,5.7185914783841095e-06,8.80227690686976e-06,9.804089747598243e-06,4.995437290159783e-06,5.881689127941317e-06,5.590771539592736e-06,6.733774036406569e-06,1.1671870993575834e-05,1.0243524833805948e-05,5.652019101140763e-06,7.555207355644693e-06,1.3911963558665014e-05,3.4174100424709735e-06,4.638946041128779e-06,6.064947059487488e-06,8.87793209261483e-06,6.425834646013128e-06,1.7257742380296134e-05,3.8059705758604133e-06,3.818007169673011e-06,8.072959666259303e-06,7.243735135537615e-06,3.387959393995412e-06,2.456058757591527e-06,2.831082941303965e-06,5.487889456974479e-06,6.737750225842354e-06,7.215465610575587e-06,4.943225168037972e-06,3.2564317417217455e-06,9.370486802349731e-06,6.2460890111880975e-06,4.557779957050678e-06,5.40897549615448e-06,4.522220715821484e-06,7.471794277926378e-06,1.1618324864652048e-05,6.6052456218926415e-06,7.606337494056529e-06,4.823569982224376e-06,1.0275206962929558e-05,5.048093525280182e-06,8.666250310217626e-06
KOR,6.277542891857253e-06,1.729121679547238e-05,1.4129623407061768e-05,1.2882327707622201e-05,1.3802918651129362e-05,1.7694502795241362e-05,0.00045220325399094734,6.264112544731737e-06,1.0946127339825652e-05,2.7725006967240335e-05,5.79945533373512e-06,8.691726891049964e-06,1.457407704981138e-05,1.709199502495695e-05,1.7581211243660327e-05,1.492585454230418e-05,2.2372349534689202e-05,1.263999154569191e-05,8.039197784766343e-06,7.112427664518712e-06,1.2766810869415866e-05,1.4313231342290105e-05,7.504203698788545e-06,9.173634461949819e-06,5.560962451844903e-06,5.498064286773114e-06,7.253088178418724e-06,6.155682612545718e-06,7.640095042342016e-06,8.475541978994107e-06,1.1049229652755135e-05,5.330809080888409e-06,6.367076889541052e-06,5.336178802182942e-06,4.336794402455608e-06,1.0388002796415298e-05,3.7109266033356626e-06,1.1742060551841685e-05,1.2533620553706296e-05,7.162361288884191e-06,7.263583985458613e-06,5.768698641877492e-06,8.3599664238495e-06,6.22662940742431e-06,1.1823107425515378e-05,6.258703759227022e-06,1.3678305302306909e-05,7.825400259125539e-06,7.067584530398023e-06,9.269653926459876e-06,7.277857416473118e-06,1.1422299613511108e-05,7.810648320893805e-06,1.367543997124933e-05,1.0511787797949886e-05,9.291348956069962e-06,6.4702352826302274e-06,1.3965017700412392e-05,1.6540568374670202e-05,7.64512439322131e-06,1.1970997661520583e-05,9.31952929813718e-06,1.2699122918101858e-05,2.2653249391913596e-05,1.0701949524124166e-05,1.0555756035542315e-05,6.18441041880213e-05,1.0043095310565393e-05,8.358358074663067e-06,2.4463606658717473e-05,1.1863094484750866e-05,2.945191648653984e-05,6.138435207881624e-06,7.394125229638162e-06,1.5622153171682807e-05,2.270643914370314e-05,1.9964091387464047e-05,1.1158043378562854e-05,1.544676739230191e-05,2.2939632930538955e-05,4.918754192449977e-06,1.5495752044916985e-05,8.581513167860029e-06,9.787639341497553e-06,5.480738363664998e-06,9.236554643635486e-06,4.285539868063177e-06,9.796006923822778e-06,6.352429845307601e-06,7.549677328746823e-06,2.1879890027127287e-05,3.967747855800054e-06,9.975233472389374e-06,6.419224977333979e-06,8.60317006078561e-06,8.53869641040136e-06,5.305942852780952e-06,8.2048947657696e-06,9.695204613631e-06,8.972873924997725e-06,8.818156372143073e-06,9.177008828173805e-06,1.2830768375713542e-05,1.3961677488166495e-05,1.76734382897959e-05,1.7336239783061413e-05,7.727934041260995e-06,1.0217732640283888e-05,1.4550590408162694e-05,5.5234857953704956e-06,1.6607648890563083e-05
MAC,3.81890106704184e-06,2.4398449985464163e-05,1.1680776553451725e-05,9.536024765621378e-05,4.0508875898851226e-06,2.4882908948083356e-06,2.001924680810439e-06,0.01555734354820754,1.8520231905066018e-06,2.623098953372958e-06,1.2208037257416357e-06,1.7334151269913814e-06,1.1981430494698612e-05,3.432449264732227e-06,5.414344899318062e-06,3.4084891019224386e-06,1.252648352059539e-06,9.82136122381207e-07,1.82233051373489e-06,7.150038351038364e-06,2.8036246794134563e-06,4.251244067011136e-06,7.476283251201733e-07,1.0197079094913401e-05,7.786953268649981e-07,6.436296567531553e-07,3.431678247422857e-06,2.07772003931337e-06,2.2534788310691557e-06,4.577944353094847e-06,6.318616572884035e-07,1.1786555829806533e-06,7.265009793186084e-07,1.4757671368641853e-06,2.209976045876253e-06,1.0925737520524699e-06,6.350959269476057e-07,2.0742694790595004e-06,4.1707046610511685e-07,8.574763468053456e-07,3.4806066442867144e-06,7.652994651687425e-06,1.561029180744742e-06,2.4061471634305547e-06,5.793885460398529e-07,5.33290579629015e-07,3.0780860432363147e-06,2.334572842021999e-06,1.188585453804196e-06,1.360721077828972e-06,1.097252026699128e-05,5.0051561533134865e-06,5.895917472514657e-06,3.263058158703886e-06,6.3263284019650245e-06,3.529075974597608e-05,3.4888342367899913e-06,8.370111898872702e-06,1.071094211574261e-05,4.2520791984644214e-05,1.1550710953039019e-05,5.760550871482465e-06,8.213282831626853e-07,5.197596816634067e-07,8.83226484950881e-07,8.849277393258096e-07,1.3918299041331422e-06,2.308426072889915e-06,1.140883688445621e-06,1.3774543448068602e-06,1.8473123620045647e-06,4.906132727644525e-07,1.8416179602506512e-06,1.8551608838272208e-06,7.261474557926439e-07,1.340480349088328e-06,1.987526954147956e-06,5.194692660796633e-07,9.841384342963496e-06,3.9479575839276815e-07,3.18867789423901e-07,6.164283563669328e-07,7.927892056030766e-07,1.149700414564251e-06,1.5101316177030216e-06,3.893863421006964e-07,6.313214353904116e-07,1.5720875521482294e-06,1.38575282213801e-06,3.245424193938292e-06,3.5884093371772987e-07,1.5073060375771157e-06,5.895869197225494e-07,6.0710696345007235e-06,4.471971638407041e-06,4.8641905675621674e-06,4.879584849088983e-05,1.6043140498283e-06,6.052346540079946e-07,1.461343025853528e-06,1.1355953286604932e-06,1.3296784752339112e-06,5.522219781192564e-07,1.1412816130085886e-06,2.9667648939173055e-06,7.756855290300393e-07,1.5547244753190088e-06,5.809804819645432e-07,1.2415959591051006e-06,1.9703287347447785e-06,8.71810226664484e-06
MYS,5.8793694614937085e-06,5.4939121848659855e-05,3.8865235663002225e-06,6.817830673142674e-06,2.3252789110196014e-05,5.182487939286067e-06,3.87942161848641e-06,5.580456141104286e-06,0.0005662522951167223,6.3572160063176565e-06,4.634845606088134e-06,2.8489501435218977e-05,1.3288031987509511e-05,2.5873048874401225e-05,3.445346923152129e-06,1.5374390824978485e-05,1.1629774164944998e-05,1.3439477832923899e-05,4.3256508818993025e-06,2.341293036777887e-05,1.1903214749812501e-05,1.8877365778908646e-05,3.3887506169640303e-06,8.696728676642708e-06,1.4647226591190427e-06,1.4330531964962386e-06,3.5989920772613695e-06,1.3537539694333332e-06,2.5546400199343736e-06,2.109537528320489e-06,8.158453209140349e-06,2.8362690639386052e-06,2.158542541285828e-06,1.1209480841463434e-06,1.090846396617065e-06,2.624946968987295e-06,1.4029724377908023e-06,1.8827426663455776e-06,1.4157186857817976e-06,2.2427601723598224e-06,2.6653575335422044e-06,2.5256974965149126e-06,2.229154915192273e-06,2.4377315467055897e-06,1.5600210637369421e-06,1.3299279327621048e-06,3.920702859401017e-06,2.4790218313612456e-06,4.210187097394708e-06,2.2454877341031077e-06,2.9974029225397486e-06,3.45009544827335e-06,2.2565652188685475e-06,2.6276833585872046e-06,4.581051865969109e-06,4.59554558537428e-06,3.5498553358300846e-06,3.3231152657279094e-06,2.848661661563134e-06,2.8596018892461305e-06,7.519667314329855e-06,3.3846584668964542e-06,3.1194206049527866e-06,4.977879640475e-06,1.1120300320778439e-05,1.0490638991518523e-05,1.9701185972855788e-05,3.393095390144917e-06,4.3996565354519945e-06,6.116770779224609e-06,5.367894972714238e-06,1.0907408466354284e-05,4.757042108137996e-06,1.7039603872273213e-06,1.3809920371014393e-05,1.6537983528120953e-05,1.0653621949626753e-05,3.4266346666286853e-06,1.5073026893388442e-05,5.482200859226825e-06,1.2044229676179868e-06,2.848042438844459e-06,5.579806520165339e-06,2.712971147479999e-06,5.464167797547878e-06,3.25596566021562e-06,2.191989621522304e-06,6.0803856280212345e-06,3.1414511115826156e-06,1.0883198156884683e-05,4.232637304871918e-06,3.4997903061181993e-06,5.2447123678689165e-06,2.0810151026693187e-06,2.584880602723197e-06,2.560516709533716e-06,3.0938715796373216e-06,4.160223582837156e-06,1.141561679310622e-05,2.5760139730710997e-06,2.5969253718874765e-06,2.8358805246721773e-06,2.115578508046842e-06,1.5985785091927935e-06,2.5484950763562847e-06,2.9559877175981988e-06,1.8527485326280647e-06,2.6075570430330037e-06,5.326888537806268e-06,1.330701203116009e-06,9.293327350599846e-06
MNG,3.888908623143781e-06,4.229282466237115e-07,1.1028069272863033e-05,3.294789455146812e-06,5.769562352105667e-07,1.6815994808153509e-06,2.512134255075064e-06,4.497334127355287e-07,1.2806200537821924e-06,0.027204263735314288,6.420866428777582e-07,4.1824950427607067e-07,5.697993767924691e-07,7.315414087481488e-07,5.840164007192273e-06,5.876133001625483e-07,1.0460752092547265e-06,5.798142650411714e-07,2.019503965575275e-06,4.088028490202249e-06,5.371367970615226e-06,4.907348228177125e-07,1.5535450566131305e-06,6.844061389621247e-07,4.342811498447448e-07,4.575656486612414e-07,8.265823558520561e-07,7.645071255657592e-07,5.93305120475956e-07,4.3232358875188255e-07,6.156319868400203e-07,3.084974203152225e-07,5.714171704030795e-07,5.918767291874198e-07,3.528332893914537e-07,1.2273356654870826e-05,3.015129843876206e-07,6.270893078851529e-07,6.117293604186666e-07,6.087708573330412e-07,4.877910936573152e-07,6.249430134981534e-07,1.169212029929827e-06,5.210447586027638e-07,6.298100754453668e-07,3.7071161772855083e-07,8.198188020375962e-07,9.151557354263797e-07,9.735069400618064e-07,6.252112199951542e-07,9.256000815187495e-07,1.1653591444407141e-06,7.189441968899364e-07,1.2520156349435756e-06,1.1457536700503322e-06,1.228268636198781e-06,1.1761846966860594e-06,6.554295421310316e-07,6.15201688500664e-07,9.694491336763942e-07,5.72088642609726e-07,1.0306641869066264e-06,6.417693391188109e-07,3.315951692234775e-07,6.476055653550826e-07,6.233000345829002e-07,5.856099922867442e-07,1.0172830692068324e-06,5.301228714288539e-07,6.745241670851994e-07,1.5224155234445111e-06,6.075658377831702e-07,1.3537085440629427e-06,3.739191650685733e-07,6.105108905187079e-07,5.273250820675902e-07,4.194559468567119e-07,2.469468514342332e-07,9.494932322514172e-07,2.800949682188541e-07,2.3803524514601902e-07,3.4263719390852117e-07,3.027548459652819e-07,3.7090037062842283e-07,4.698801254132369e-07,2.8749771765692834e-07,3.551500328232996e-07,3.816373327094174e-07,8.563755593022123e-07,3.8084507837335106e-07,8.138570216797738e-07,2.589730064160228e-07,2.7834233051129553e-07,2.193474697992743e-06,1.10672320127565e-06,2.920684011735345e-06,1.9052609641156334e-06,1.2978835642562975e-06,6.038072745201728e-06,3.901832369180436e-07,3.851847893650361e-07,6.16154340806394e-07,3.570936237601517e-07,4.3288444604375627e-07,7.774431328101945e-07,3.470753490286869e-06,3.7325955815800746e-07,3.455234376303222e-07,8.155028371269616e-07,3.5177634465417944e-07,1.0408313440167336e-06
