,AUS,KHM,CHN,HKG,IDN,JPN,KOR,MAC,MYS,MNG,NZL,PNG,PHL,SGP,TWN,THA,VNM,BGD,IND,NPL,PAK,LKA,ARM,AZE,BLR,BIH,BGR,HRV,CZE,HUN,KAZ,MKD,MDA,POL,ROU,RUS,SRB,SVK,SVN,UKR,DNK,EST,FIN,ISL,LVA,LTU,NOR,SWE,AUT,BEL,FRA,DEU,IRL,LUX,NLD,CHE,GBR,CYP,GRC,ITA,PRT,ESP,TUR,DZA,BHR,EGY,IRN,ISR,JOR,KWT,LBN,LBY,MLT,MAR,OMN,QAT,SAU,TUN,ARE,AGO,BWA,CIV,GHA,KEN,MUS,MOZ,NAM,NGA,ZAF,TZA,UGA,ZMB,ZWE,CAN,MEX,USA,ARG,BHS,BOL,BRA,CHL,COL,DOM,ECU,JAM,PAN,PRY,PER,TTO,URY,VEN
AUS,9521.999999999958,1.0,283.0,176.00000000000006,120.99999999999993,328.0000000000008,96.99999999999893,5.000000000000002,93.00000000000102,10.0,531.000000000001,36.99999999999958,54.999999999999496,174.9999999999982,33.00000000000019,51.00000000000043,22.00000000000019,26.00000000000012,219.00000000000074,2.999999999999997,36.99999999999958,24.000000000000217,1.0,0.0,0.0,1.0,3.999999999999996,6.000000000000004,3.999999999999996,2.999999999999997,6.000000000000004,1.999999999999999,0.0,29.000000000000266,2.999999999999997,27.000000000000167,0.0,1.0,1.0,6.000000000000004,32.0000000000003,1.0,35.00000000000034,1.999999999999999,0.0,3.999999999999996,30.999999999999808,69.00000000000077,15.99999999999982,25.000000000000135,147.0000000000013,169.9999999999985,36.00000000000022,21.000000000000036,97.9999999999989,165.9999999999981,1002.0000000000067,11.000000000000126,9.000000000000002,79.99999999999933,5.000000000000002,44.999999999999616,11.000000000000126,1.0,2.999999999999997,13.000000000000098,1.0,24.000000000000217,5.000000000000002,9.000000000000002,6.000000000000004,1.999999999999999,1.0,1.999999999999999,5.000000000000002,15.99999999999982,29.999999999999826,1.999999999999999,54.00000000000018,1.0,1.0,0.0,2.999999999999997,2.999999999999997,6.000000000000004,7.0000000000000036,1.0,13.000000000000098,167.99999999999898,1.999999999999999,0.0,3.999999999999996,1.999999999999999,534.0000000000047,18.000000000000163,2692.000000000004,8.000000000000007,5.000000000000002,1.0,64.00000000000041,34.000000000000384,10.0,1.999999999999999,1.999999999999999,1.0,2.999999999999997,0.0,10.0,5.000000000000002,1.0,2.999999999999997
KHM,0.0,6.000000000000004,2.999999999999997,0.0,1.0,0.0,1.0,0.0,7.0000000000000036,0.0,0.0,0.0,0.0,3.999999999999996,1.0,5.000000000000002,5.000000000000002,0.0,0.0,0.0,0.0,5.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,180.99999999999815,14.000000000000062,12688.000000000042,1395.000000000012,271.00000000000256,972.999999999996,373.9999999999997,3.999999999999996,129.00000000000034,11.999999999999867,19.99999999999994,2.999999999999997,105.99999999999993,268.0000000000006,472.99999999999807,114.99999999999956,102.99999999999943,82.99999999999925,418.00000000000455,7.0000000000000036,159.9999999999983,58.99999999999943,3.999999999999996,9.000000000000002,8.000000000000007,1.0,5.000000000000002,6.000000000000004,22.999999999999844,6.000000000000004,14.999999999999957,1.0,1.0,54.00000000000018,5.000000000000002,65.00000000000065,2.999999999999997,2.999999999999997,2.999999999999997,5.000000000000002,56.9999999999998,1.0,72.00000000000027,2.999999999999997,3.999999999999996,7.0000000000000036,47.00000000000027,130.99999999999872,16.99999999999985,39.00000000000007,379.99999999999994,690.0000000000076,45.99999999999958,19.99999999999994,137.00000000000097,130.000000000001,430.00000000000364,16.99999999999985,36.99999999999958,164.00000000000088,9.000000000000002,89.999999999999,52.000000000000085,8.000000000000007,6.000000000000004,29.999999999999826,15.99999999999982,32.0000000000003,7.0000000000000036,22.00000000000019,11.999999999999867,2.999999999999997,0.0,7.0000000000000036,15.99999999999982,13.000000000000098,44.999999999999616,1.999999999999999,59.99999999999951,2.999999999999997,1.0,0.0,6.000000000000004,11.999999999999867,11.000000000000126,1.0,0.0,25.000000000000135,56.9999999999998,3.999999999999996,1.0,5.000000000000002,1.999999999999999,201.00000000000048,41.00000000000041,2581.000000000008,11.999999999999867,6.000000000000004,2.999999999999997,61.99999999999943,15.99999999999982,14.999999999999957,0.0,14.999999999999957,1.999999999999999,0.0,1.0,14.999999999999957,1.0,1.999999999999999,21.000000000000036
HKG,96.00000000000034,1.999999999999999,1740.9999999999945,2029.0000000000184,83.99999999999969,333.99999999999665,96.00000000000034,48.999999999999595,82.99999999999925,6.000000000000004,11.000000000000126,2.999999999999997,52.000000000000085,187.0000000000004,158.99999999999946,75.00000000000001,30.999999999999808,62.99999999999974,111.00000000000061,2.999999999999997,78.99999999999974,36.00000000000022,1.0,1.999999999999999,0.0,0.0,3.999999999999996,2.999999999999997,2.999999999999997,1.0,1.0,0.0,0.0,9.000000000000002,1.0,27.000000000000167,1.999999999999999,1.0,1.0,1.0,29.000000000000266,0.0,14.999999999999957,1.0,1.0,1.999999999999999,6.000000000000004,35.00000000000034,11.000000000000126,10.0,161.9999999999996,146.0000000000009,10.0,15.99999999999982,71.00000000000075,51.00000000000043,285.999999999998,5.000000000000002,11.000000000000126,122.00000000000054,1.999999999999999,22.00000000000019,18.000000000000163,0.0,3.999999999999996,1.999999999999999,0.0,15.99999999999982,1.999999999999999,1.999999999999999,5.000000000000002,0.0,1.999999999999999,1.999999999999999,1.999999999999999,5.000000000000002,2.999999999999997,0.0,16.99999999999985,0.0,0.0,0.0,0.0,1.0,2.999999999999997,0.0,0.0,1.0,15.99999999999982,1.999999999999999,0.0,1.0,0.0,95.0000000000005,8.000000000000007,1197.9999999999932,5.000000000000002,0.0,0.0,9.000000000000002,14.000000000000062,1.0,0.0,0.0,1.0,1.0,0.0,11.000000000000126,0.0,1.0,6.000000000000004
IDN,58.00000000000036,2.999999999999997,107.00000000000013,72.00000000000027,7989.999999999972,251.0000000000012,82.99999999999925,0.0,128.0000000000005,1.0,7.0000000000000036,2.999999999999997,41.00000000000041,320.9999999999985,26.00000000000012,66.00000000000021,22.999999999999844,29.000000000000266,72.00000000000027,0.0,41.00000000000041,13.000000000000098,0.0,0.0,0.0,0.0,0.0,1.0,1.999999999999999,0.0,0.0,0.0,0.0,3.999999999999996,0.0,6.000000000000004,0.0,0.0,0.0,1.0,6.000000000000004,0.0,7.0000000000000036,1.0,0.0,0.0,1.999999999999999,11.999999999999867,2.999999999999997,8.000000000000007,52.000000000000085,61.99999999999943,7.0000000000000036,3.999999999999996,41.99999999999994,45.99999999999958,86.00000000000043,2.999999999999997,3.999999999999996,25.000000000000135,0.0,11.000000000000126,14.999999999999957,0.0,1.999999999999999,3.999999999999996,2.999999999999997,2.999999999999997,1.999999999999999,1.999999999999999,1.999999999999999,0.0,1.999999999999999,0.0,5.000000000000002,5.000000000000002,11.000000000000126,0.0,28.000000000000057,0.0,0.0,1.0,2.999999999999997,2.999999999999997,3.999999999999996,0.0,0.0,5.000000000000002,2.999999999999997,1.0,0.0,1.0,0.0,19.000000000000043,5.000000000000002,333.99999999999665,5.000000000000002,0.0,0.0,7.0000000000000036,1.0,5.000000000000002,0.0,0.0,1.0,0.0,0.0,2.999999999999997,1.0,0.0,1.0
JPN,220.99999999999972,1.0,866.0000000000066,318.99999999999926,354.9999999999968,14007.000000000056,546.999999999999,3.999999999999996,258.999999999999,6.000000000000004,61.99999999999943,6.000000000000004,119.99999999999861,424.9999999999983,629.9999999999974,392.00000000000233,111.00000000000061,54.00000000000018,430.9999999999986,1.0,88.99999999999942,100.0,2.999999999999997,1.999999999999999,2.999999999999997,0.0,3.999999999999996,9.000000000000002,16.99999999999985,16.99999999999985,3.999999999999996,1.0,1.0,113.99999999999933,14.000000000000062,88.00000000000028,1.0,5.000000000000002,1.0,6.000000000000004,29.999999999999826,5.000000000000002,68.00000000000057,6.000000000000004,7.0000000000000036,0.0,58.00000000000036,103.99999999999987,37.99999999999998,56.9999999999998,263.0000000000012,411.99999999999574,45.99999999999958,11.000000000000126,120.99999999999993,129.00000000000034,538.0000000000013,16.99999999999985,58.00000000000036,138.9999999999984,13.000000000000098,81.00000000000004,78.99999999999974,6.000000000000004,8.000000000000007,29.000000000000266,7.0000000000000036,72.00000000000027,11.999999999999867,19.99999999999994,19.000000000000043,0.0,1.999999999999999,9.000000000000002,9.000000000000002,26.00000000000012,44.00000000000027,3.999999999999996,48.999999999999595,6.000000000000004,1.999999999999999,0.0,2.999999999999997,14.999999999999957,11.000000000000126,3.999999999999996,1.999999999999999,6.000000000000004,173.0000000000018,1.999999999999999,0.0,0.0,0.0,213.00000000000105,48.999999999999595,3193.0000000000373,15.99999999999982,0.0,2.999999999999997,88.99999999999942,16.99999999999985,6.000000000000004,0.0,1.999999999999999,6.000000000000004,3.999999999999996,1.0,13.000000000000098,8.000000000000007,0.0,9.000000000000002
KOR,109.99999999999874,1.999999999999999,482.0000000000005,161.9999999999996,148.99999999999864,844.0000000000097,6398.000000000025,1.0,111.99999999999963,5.000000000000002,14.000000000000062,0.0,79.99999999999933,178.99999999999878,251.0000000000012,93.00000000000102,81.00000000000004,47.00000000000027,251.99999999999773,0.0,73.00000000000067,36.99999999999958,0.0,0.0,1.0,0.0,5.000000000000002,2.999999999999997,14.999999999999957,7.0000000000000036,3.999999999999996,0.0,0.0,41.99999999999994,5.000000000000002,54.00000000000018,0.0,13.000000000000098,5.000000000000002,5.000000000000002,16.99999999999985,0.0,36.99999999999958,0.0,3.999999999999996,5.000000000000002,54.00000000000018,93.00000000000102,8.000000000000007,33.00000000000019,184.00000000000148,324.9999999999967,29.000000000000266,14.000000000000062,82.00000000000063,70.00000000000051,285.999999999998,11.000000000000126,43.00000000000034,83.99999999999969,15.99999999999982,59.99999999999951,54.00000000000018,7.0000000000000036,3.999999999999996,11.000000000000126,28.000000000000057,41.99999999999994,8.000000000000007,33.00000000000019,8.000000000000007,5.000000000000002,1.0,3.999999999999996,18.000000000000163,27.000000000000167,69.00000000000077,1.999999999999999,73.00000000000067,2.999999999999997,1.0,1.0,1.0,2.999999999999997,1.999999999999999,0.0,0.0,9.000000000000002,29.999999999999826,0.0,1.0,0.0,3.999999999999996,119.99999999999861,29.999999999999826,1994.0000000000134,2.999999999999997,0.0,1.0,47.00000000000027,14.000000000000062,10.0,1.0,3.999999999999996,7.0000000000000036,5.000000000000002,0.0,10.0,2.999999999999997,0.0,6.000000000000004
MAC,0.0,0.0,10.0,36.00000000000022,0.0,2.999999999999997,1.0,26.00000000000012,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.999999999999957,3.999999999999996,1.0,0.0,2.999999999999997,13.000000000000098,6.000000000000004,0.0,1.0,18.000000000000163,1.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000002,0.0,29.999999999999826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,103.99999999999987,8.000000000000007,103.99999999999987,88.00000000000028,222.0000000000008,226.9999999999985,47.00000000000027,1.0,5250.000000000039,0.0,18.000000000000163,3.999999999999996,62.99999999999974,328.0000000000008,27.000000000000167,140.00000000000063,36.99999999999958,41.00000000000041,149.99999999999957,2.999999999999997,61.00000000000042,56.9999999999998,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.000000000000002,0.0,0.0,1.999999999999999,0.0,8.000000000000007,0.0,0.0,0.0,1.0,5.000000000000002,0.0,7.0000000000000036,0.0,0.0,0.0,15.99999999999982,25.000000000000135,1.999999999999999,2.999999999999997,68.00000000000057,74.00000000000065,6.000000000000004,0.0,47.00000000000027,34.000000000000384,174.9999999999982,1.0,2.999999999999997,19.000000000000043,2.999999999999997,14.000000000000062,11.999999999999867,0.0,7.0000000000000036,3.999999999999996,7.0000000000000036,8.000000000000007,2.999999999999997,3.999999999999996,1.0,1.0,1.999999999999999,0.0,15.99999999999982,22.999999999999844,35.00000000000034,1.0,68.00000000000057,0.0,0.0,0.0,1.999999999999999,0.0,3.999999999999996,0.0,0.0,8.000000000000007,13.000000000000098,1.0,0.0,0.0,1.999999999999999,37.99999999999998,2.999999999999997,476.9999999999956,5.000000000000002,1.0,0.0,8.000000000000007,1.0,1.999999999999999,0.0,0.0,0.0,1.0,0.0,1.999999999999999,0.0,0.0,2.999999999999997
MNG,1.999999999999999,0.0,9.000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,8.000000000000007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,6.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
